,tgroup,key,value,description,embedding
4158,buildings,building,cathedral,A building that was built as a cathedral.,"tensor([ 0.0389,  0.0195, -0.0372,  ...,  0.0127, -0.0336,  0.0690])"
4159,buildings,building,central_office,A telephone exchange.,"tensor([ 0.0253,  0.0187, -0.0209,  ...,  0.0342, -0.0206,  0.0669])"
4160,buildings,building,changing_rooms,A building designated for changing clothes.,"tensor([ 0.0305,  0.0063, -0.0112,  ...,  0.0318, -0.0305,  0.0723])"
4161,buildings,building,chapel,Building built as chapel,"tensor([ 0.0250, -0.0096, -0.0433,  ..., -0.0007, -0.0300,  0.0528])"
4162,buildings,building,church,A building that was built as a church.,"tensor([ 0.0342,  0.0010, -0.0287,  ...,  0.0114, -0.0340,  0.0582])"
4163,,building,civic,"A building hosting any civic amenity (town hall, library, swimming pool).","tensor([ 0.0411,  0.0036, -0.0274,  ...,  0.0019, -0.0202,  0.0449])"
4164,,building,collapsed,,"tensor([ 0.0162,  0.0120, -0.0380,  ...,  0.0233, -0.0439,  0.0676])"
4165,,building,college,A building constructed to house a college.,"tensor([ 0.0417,  0.0078, -0.0122,  ...,  0.0058, -0.0151,  0.0551])"
4166,buildings,building,commercial,A building constructed for non-specific commercial activities to take place there.,"tensor([ 0.0232,  0.0091, -0.0205,  ...,  0.0012, -0.0246,  0.0661])"
4168,buildings,building,conservatory,Conservatory - a building or room having glass or tarpaulin roofing and walls used as an indoor garden or a sunroom (winter garden).,"tensor([ 0.0171,  0.0134, -0.0148,  ..., -0.0002, -0.0340,  0.0509])"
4170,lifecycle,building,construction,A building under construction,"tensor([ 0.0190,  0.0160, -0.0383,  ..., -0.0054, -0.0340,  0.0674])"
4171,buildings,building,container,A container used as a building.,"tensor([ 0.0341,  0.0176, -0.0401,  ..., -0.0043, -0.0147,  0.0748])"
4172,buildings,building,convent,A building constructed as a convent.,"tensor([ 0.0019,  0.0068, -0.0541,  ..., -0.0149, -0.0295,  0.0734])"
4173,,building,cowshed,A building for housing cows.,"tensor([ 0.0494,  0.0034, -0.0536,  ...,  0.0166, -0.0440,  0.0575])"
4175,,building,data_center,A building which was built as a data center,"tensor([ 0.0361, -0.0028, -0.0397,  ..., -0.0003, -0.0132,  0.0736])"
4177,buildings,building,demountable,"A demountable, prefabricated building","tensor([ 0.0340,  0.0368, -0.0300,  ...,  0.0133, -0.0237,  0.0777])"
4178,buildings,building,detached,A detached house: a free-standing residential building usually housing a single family.,"tensor([ 0.0172,  0.0218, -0.0162,  ...,  0.0376, -0.0528,  0.0567])"
4179,,building,digester,"A building constructed as a digester, a bioreactor for the production of biogas from biomass.","tensor([ 0.0432, -0.0067, -0.0312,  ..., -0.0246, -0.0450,  0.0737])"
4180,,building,disused,,"tensor([ 0.0305, -0.0092, -0.0325,  ...,  0.0117, -0.0519,  0.0643])"
4181,buildings,building,dormitory,College or university dormitory for shared living of its students.,"tensor([ 0.0297,  0.0165,  0.0045,  ...,  0.0159, -0.0274,  0.0423])"
4184,,building,factory,A building constructed as a factory.,"tensor([ 0.0338, -0.0144, -0.0311,  ...,  0.0266, -0.0031,  0.0639])"
4185,,building,farm,A farmhouse is the main building of a farm,"tensor([ 0.0243,  0.0132, -0.0047,  ..., -0.0060, -0.0274,  0.0483])"
4186,,building,farm_auxiliary,A building on a farm that is not a dwelling.,"tensor([ 0.0341, -0.0109,  0.0019,  ..., -0.0033, -0.0370,  0.0657])"
4188,buildings,building,fire_station,A building constructed to house fire fighting equipment.,"tensor([ 0.0282, -0.0096, -0.0324,  ...,  0.0181, -0.0488,  0.0654])"
4193,buildings,building,funeral_hall,Building erected for holding funerals.,"tensor([ 0.0324, -0.0062, -0.0391,  ...,  0.0033, -0.0196,  0.0694])"
4194,,building,garage,Denotes a single-owner private garage,"tensor([ 0.0132,  0.0037, -0.0164,  ...,  0.0064, -0.0199,  0.0966])"
4195,,building,garages,A block of private garages each with a separate owner.,"tensor([ 0.0171,  0.0125, -0.0356,  ..., -0.0003, -0.0085,  0.0682])"
4196,buildings,building,gatehouse,"An entry control point building, spanning over a highway that enters a city or compound.","tensor([ 0.0045,  0.0319, -0.0049,  ..., -0.0091, -0.0452,  0.0486])"
4197,,building,ger,"A portable, round tent (yurt or ger)","tensor([ 0.0335,  0.0430, -0.0278,  ..., -0.0166, -0.0417,  0.0726])"
4200,,building,government,Building built to house government offices.,"tensor([ 0.0070, -0.0003, -0.0256,  ...,  0.0141, -0.0334,  0.0665])"
4201,,building,grandstand,A grandstand at racecourse or sports ground.,"tensor([ 0.0247, -0.0103, -0.0270,  ...,  0.0035, -0.0473,  0.0743])"
4202,buildings,building,greenhouse,A building in which plants are grown,"tensor([ 0.0137, -0.0045, -0.0287,  ..., -0.0182, -0.0504,  0.0601])"
4204,buildings,building,guardhouse,A small building constructed to house guard(s).,"tensor([ 0.0005,  0.0116, -0.0251,  ...,  0.0014, -0.0364,  0.0659])"
4205,buildings,building,gurdwara,A building that was built as a gurdwara,"tensor([ 0.0412, -0.0353, -0.0345,  ...,  0.0080, -0.0325,  0.0950])"
4206,,building,hall_of_residence,College or university dormitory for shared living of its students.,"tensor([ 0.0297,  0.0080,  0.0038,  ...,  0.0030, -0.0201,  0.0634])"
4207,,building,hangar,"A building used for the storage of aeroplanes, helicopters or space-craft.","tensor([ 0.0379, -0.0197, -0.0275,  ..., -0.0065, -0.0165,  0.0779])"
4208,,building,hospital,A building which forms part of a hospital.,"tensor([ 0.0378, -0.0058, -0.0412,  ..., -0.0161, -0.0342,  0.0734])"
4209,,building,hotel,A building designed with separate rooms available for overnight accommodation.,"tensor([ 0.0377,  0.0324, -0.0369,  ..., -0.0086, -0.0183,  0.0474])"
4210,buildings,building,house,A single dwelling unit usually inhabited by one family.,"tensor([ 0.0137,  0.0213,  0.0002,  ...,  0.0186, -0.0360,  0.0692])"
4211,,building,houseboat,"A boat (re)constructed as a floating home, staying at a single permanent location.","tensor([ 0.0169,  0.0293, -0.0088,  ..., -0.0264, -0.0367,  0.0769])"
4212,,building,hut,A small and crude shelter.,"tensor([ 0.0049,  0.0423, -0.0371,  ..., -0.0160, -0.0266,  0.0793])"
4213,,building,industrial,A building constructed to house some manufacturing process,"tensor([ 0.0257, -0.0066, -0.0165,  ..., -0.0028, -0.0196,  0.0584])"
4214,,building,kindergarten,A generic kindergarten building.,"tensor([ 0.0534, -0.0148, -0.0420,  ...,  0.0046, -0.0005,  0.0903])"
4216,,building,kiosk,"A small one room retail building, with clients not entering the building.","tensor([ 0.0373,  0.0315, -0.0182,  ...,  0.0127, -0.0177,  0.0965])"
4217,,building,lighthouse,A lighthouse building - note that it is distinct from marking active light.,"tensor([ 0.0121, -0.0055, -0.0269,  ..., -0.0280, -0.0430,  0.0623])"
4219,,building,manufacture,"A building constructed to house some manufacturing process, see also tag:building=industrial.","tensor([ 0.0385, -0.0217, -0.0308,  ..., -0.0100, -0.0202,  0.0470])"
4220,,building,marquee,A marquee is a tent or easily demountable tent-like building.,"tensor([ 0.0401,  0.0192, -0.0290,  ..., -0.0118, -0.0102,  0.0524])"
4221,,building,military,An unspecific building constructed for military purposes.,"tensor([-0.0096,  0.0030, -0.0357,  ..., -0.0203, -0.0222,  0.0652])"
4222,buildings,building,mobile_home,"A mobile home, permanently located at the same location.","tensor([ 0.0075,  0.0119, -0.0119,  ..., -0.0207, -0.0355,  0.0733])"
4223,buildings,building,monastery,A building constructed as monastery,"tensor([ 0.0160,  0.0038, -0.0204,  ...,  0.0075, -0.0147,  0.0962])"
4224,,building,mosque,A building that was built as a mosque.,"tensor([ 0.0424, -0.0162, -0.0741,  ...,  0.0099, -0.0212,  0.0596])"
4225,,building,museum,A building which was designed as a museum.,"tensor([ 0.0478, -0.0072, -0.0291,  ...,  0.0101, -0.0235,  0.0714])"
4226,,building,no,,"tensor([ 0.0155,  0.0050, -0.0380,  ...,  0.0146, -0.0400,  0.0449])"
4227,,building,office,A building which contains spaces mainly designed to be used for offices.,"tensor([ 0.0251, -0.0033, -0.0199,  ...,  0.0134, -0.0236,  0.0660])"
4229,,building,outbuilding,A less important building near to and on the same piece of land as a larger building,"tensor([ 0.0377,  0.0116, -0.0130,  ...,  0.0061, -0.0080,  0.0595])"
4230,buildings,building,pagoda,A building constructed as a pagoda.,"tensor([ 0.0190,  0.0176, -0.0278,  ...,  0.0091, -0.0312,  0.0937])"
4232,buildings,building,parking,Structure purpose-built for parking cars.,"tensor([ 0.0170,  0.0210, -0.0155,  ...,  0.0151, -0.0424,  0.0900])"
4233,buildings,building,pavilion,A building providing facilities for users of sports grounds,"tensor([ 0.0392,  0.0049,  0.0012,  ...,  0.0089, -0.0576,  0.0831])"
4235,buildings,building,police,A building constructed for use by the police.,"tensor([-0.0017,  0.0016, -0.0288,  ...,  0.0104, -0.0366,  0.0824])"
4236,,building,porch,A porch is a covered area adjoining an entrance to a building and usually having a separate roof.,"tensor([ 0.0182, -0.0016,  0.0006,  ...,  0.0097, -0.0389,  0.0597])"
4237,,building,presbytery,A building that was built as a presbytery (where priests live and work).,"tensor([ 0.0344, -0.0127, -0.0192,  ...,  0.0228, -0.0293,  0.0640])"
4238,,building,proposed,,"tensor([ 0.0298, -0.0041, -0.0189,  ..., -0.0127, -0.0469,  0.0476])"
4239,,building,public,"A building constructed as accessible to the general public (town hall, police station, court house).","tensor([ 0.0393,  0.0122, -0.0449,  ...,  0.0091, -0.0176,  0.0771])"
4240,,building,quonset_hut,A lightweight prefabricated structure in the shape of a semicircle.,"tensor([ 0.0326,  0.0165, -0.0410,  ..., -0.0061, -0.0329,  0.0731])"
4241,,building,railway,Unspecified railway building.,"tensor([ 0.0328, -0.0308, -0.0547,  ...,  0.0091, -0.0651,  0.0765])"
4242,,building,religious,A building that was built as a religious building.,"tensor([ 0.0358, -0.0094, -0.0635,  ...,  0.0055, -0.0256,  0.0595])"
4243,,building,residential,A general tag for a building constructed primarily for residential purposes.,"tensor([ 0.0278, -0.0005, -0.0206,  ...,  0.0002, -0.0460,  0.0709])"
4244,,building,retail,A building primarily used for selling goods to the general public.,"tensor([ 0.0397,  0.0104, -0.0288,  ...,  0.0182, -0.0342,  0.0753])"
4245,,building,riding_hall,A building that was built as a riding hall or indoor arena.,"tensor([ 0.0317, -0.0055, -0.0523,  ...,  0.0086, -0.0309,  0.0700])"
4246,buildings,building,roof,A building open on at least two sides.,"tensor([ 0.0296,  0.0134, -0.0244,  ...,  0.0078, -0.0304,  0.0748])"
4247,railways,building,roundhouse,A characteristic semi-circular or circular building constructed to service engines,"tensor([ 0.0263, -0.0139, -0.0299,  ..., -0.0137, -0.0765,  0.0501])"
4248,buildings,building,ruins,"Frequently used to mark ruined buildings. However, this usage conflicts with general use of building tag. In theory it should only be used for buildings constructed to look like ruins.","tensor([ 0.0180, -0.0025, -0.0153,  ...,  0.0153, -0.0495,  0.0506])"
4249,buildings,building,school,A generic school building.,"tensor([ 0.0549,  0.0165, -0.0293,  ...,  0.0209, -0.0245,  0.0492])"
4250,buildings,building,semi,A semi-detached house.,"tensor([ 0.0293,  0.0043, -0.0170,  ...,  0.0187, -0.0223,  0.0815])"
4251,,building,semidetached_house,A house that shares a common wall with another on one side.,"tensor([ 0.0216, -0.0064, -0.0153,  ...,  0.0187, -0.0234,  0.0808])"
4252,buildings,building,service,Service building usually is a small unmanned building with certain machinery (like pumps or transformers).,"tensor([ 0.0118, -0.0126, -0.0263,  ...,  0.0028, -0.0339,  0.0504])"
4253,buildings,building,shed,"A small, simple structure used as storage or workshop","tensor([ 0.0169,  0.0021, -0.0275,  ...,  0.0175, -0.0513,  0.0701])"
4255,historic,building,ship,A decommissioned ship/submarine which stays in one place.,"tensor([ 0.0242, -0.0011, -0.0047,  ...,  0.0017, -0.0350,  0.0695])"
4256,,building,shrine,A building that was built as a shrine,"tensor([ 1.9132e-02,  7.5053e-05, -5.8378e-02,  ...,  6.9969e-03,
        -1.6018e-02,  7.8902e-02])"
4257,,building,silo,A silo is a building for storing bulk materials.,"tensor([ 0.0386,  0.0239, -0.0550,  ...,  0.0141, -0.0280,  0.0456])"
4260,,building,sports_centre,A building that was built as a sports centre,"tensor([ 0.0584, -0.0054, -0.0115,  ...,  0.0201, -0.0175,  0.0812])"
4261,,building,sports_hall,A building that was built as a sports hall,"tensor([ 0.0447, -0.0242, -0.0187,  ...,  0.0016, -0.0266,  0.0969])"
4262,buildings,building,stable,A building constructed as a stable for horses,"tensor([ 0.0392,  0.0059, -0.0462,  ...,  0.0256, -0.0515,  0.0762])"
4263,,building,stadium,A building which was built as stadium.,"tensor([ 0.0471, -0.0267, -0.0354,  ...,  0.0102, -0.0187,  0.0844])"
4264,,building,static_caravan,A mobile home (caravan) (semi)permanently left on a single site.,"tensor([ 0.0369,  0.0189, -0.0210,  ..., -0.0041, -0.0416,  0.0883])"
4266,,building,storage_tank,A storage tank,"tensor([ 0.0420,  0.0086, -0.0495,  ...,  0.0027, -0.0260,  0.0796])"
4267,,building,sty,A building for raising domestic pigs.,"tensor([ 0.0391,  0.0075, -0.0542,  ...,  0.0044, -0.0340,  0.0793])"
4268,,building,supermarket,A building built as a supermarket,"tensor([ 0.0495,  0.0073, -0.0442,  ...,  0.0158, -0.0244,  0.0931])"
4270,,building,synagogue,A building that was built as a synagogue.,"tensor([ 0.0621, -0.0141, -0.0599,  ..., -0.0010, -0.0326,  0.0528])"
4271,buildings,building,tech_cab,Small prefabricated cabin structures for the air-conditioned accommodation of different technology.,"tensor([-0.0030,  0.0386, -0.0189,  ...,  0.0119, -0.0569,  0.0471])"
4272,,building,temple,A building that was built as a temple,"tensor([ 0.0397,  0.0066, -0.0653,  ...,  0.0175, -0.0337,  0.0658])"
4273,,building,tent,A building mainly consisting of sheets of fabric or similar,"tensor([ 0.0203,  0.0174, -0.0238,  ..., -0.0087, -0.0240,  0.0654])"
4274,,building,terrace,"The outline of a linear row of residential dwellings, each of which normally has its own entrance, which form a terrace (""row-house"" or ""townhouse"" in North American English).","tensor([ 0.0331,  0.0090, -0.0080,  ...,  0.0239, -0.0450,  0.0701])"
4275,buildings,building,toilets,A building designed for toilets.,"tensor([ 0.0490,  0.0134, -0.0184,  ...,  0.0050, -0.0422,  0.0889])"
4276,buildings,building,tower,"A tower, that is a building.","tensor([ 0.0204,  0.0175, -0.0249,  ...,  0.0217, -0.0483,  0.0751])"
4277,buildings,building,townhall,A townhall building.,"tensor([ 0.0449,  0.0057, -0.0207,  ...,  0.0232, -0.0369,  0.0658])"
4278,,building,train_station,A train station building,"tensor([ 0.0404, -0.0184, -0.0421,  ...,  0.0002, -0.0770,  0.0625])"
4279,,building,transformer_tower,A small but tall building constructed to comprise a transformer and connect to an overhead power line.,"tensor([ 0.0123,  0.0048, -0.0198,  ...,  0.0194, -0.0459,  0.0583])"
4280,,building,transportation,A building related to the public transportation.,"tensor([ 0.0555, -0.0092, -0.0519,  ...,  0.0048, -0.0606,  0.0636])"
4285,,building,undefined,Use building=yes instead.,"tensor([ 0.0129, -0.0009, -0.0238,  ...,  0.0198, -0.0315,  0.0745])"
4287,,building,university,A university building.,"tensor([ 0.0572, -0.0004, -0.0233,  ..., -0.0049, -0.0229,  0.0417])"
4290,,building,warehouse,A commercial building for storage of goods.,"tensor([ 0.0358, -0.0037, -0.0297,  ...,  0.0079, -0.0357,  0.0560])"
4291,,building,water_tower,A watertower,"tensor([ 0.0258,  0.0025, -0.0255,  ..., -0.0025, -0.0335,  0.0838])"
4292,,building,wayside_shrine,A wayside shrine that meets the criteria of a building.,"tensor([ 0.0111,  0.0167, -0.0506,  ...,  0.0081, -0.0262,  0.0753])"
4294,buildings,building,yes,A building of an unspecified type.,"tensor([ 1.3556e-02,  1.3777e-02, -7.3891e-03,  ...,  9.5471e-05,
        -4.5346e-02,  7.4944e-02])"
4296,military,bunker_type,gun_emplacement,A specific type of gun emplacement,"tensor([-0.0208,  0.0050,  0.0019,  ..., -0.0088, -0.0284,  0.0711])"
4298,military,bunker_type,munitions,Bunker for storing munitions,"tensor([-0.0065,  0.0026, -0.0211,  ..., -0.0131, -0.0149,  0.0527])"
4300,military,bunker_type,personnel_shelter,A bunker which is a military personnel shelter,"tensor([-0.0205,  0.0033, -0.0143,  ..., -0.0036, -0.0217,  0.0560])"
4301,military,bunker_type,pillbox,A small abandoned World War&nbsp;2 gun emplacement.,"tensor([-0.0218,  0.0351, -0.0151,  ..., -0.0110, -0.0288,  0.0650])"
4304,restrictions,bus,no,"Specifies no legal access for public transport buses, OR that buses do not stop here.","tensor([ 0.0043, -0.0074, -0.0028,  ...,  0.0179, -0.0308,  0.0419])"
4306,restrictions,bus,yes,1) Legal access permission for public transport buses; 2) the type of public transport vehicle,"tensor([ 0.0105, -0.0067,  0.0057,  ..., -0.0103, -0.0401,  0.0454])"
4309,,busway,lane,"A painted lane within the roadway that is for the dedicated use of buses, may be part time.","tensor([ 0.0198, -0.0061, -0.0144,  ...,  0.0004, -0.0507,  0.0520])"
4310,,busway,opposite_lane,A painted lane allowing buses to travel in the opposite direction on a one way road.,"tensor([ 0.0262, -0.0240, -0.0069,  ..., -0.0002, -0.0557,  0.0587])"
4318,amenities,cafe,board_game,A board game café,"tensor([ 0.0189, -0.0019,  0.0108,  ..., -0.0027, -0.0376,  0.0680])"
4321,tourism,camp_site,basic,sub-key for a site that is nothing more than an area to pitch a tent or park a vehicle.,"tensor([ 0.0140,  0.0608,  0.0015,  ...,  0.0189, -0.0491,  0.0632])"
4324,tourism,camp_site,reception,The reception of a camp site which is usually located at the camp site's entrance.,"tensor([ 0.0027,  0.0513, -0.0076,  ...,  0.0183, -0.0463,  0.0219])"
4325,tourism,camp_site,serviced,"sub-key for a site with toilets, water, shower and power.","tensor([ 0.0185,  0.0188,  0.0001,  ...,  0.0142, -0.0465,  0.0416])"
4326,tourism,camp_site,standard,sub-key for a site with toilets and water on site or nearby.,"tensor([ 0.0311,  0.0440, -0.0006,  ...,  0.0177, -0.0540,  0.0467])"
4330,,canoe,put_in,For places where a boat (canoe/kayak/stand up paddleboard/row boat/paddle-craft) is carried to and from the water,"tensor([ 0.0048,  0.0161, -0.0122,  ..., -0.0071, -0.0641,  0.0610])"
4333,,cargo,liquid_bulk,A Oil terminal,"tensor([-0.0123,  0.0021, -0.0089,  ..., -0.0006, -0.0559,  0.0625])"
4338,historic,castle_type,fortress,A fortress,"tensor([ 0.0093,  0.0401, -0.0276,  ...,  0.0167, -0.0127,  0.0866])"
4343,historic,castle_type,stately,Stately home (château). Representative building without functional defenses.,"tensor([ 0.0035,  0.0226, -0.0291,  ...,  0.0213, -0.0373,  0.0756])"
4346,,cemetery,grave,"To map a place dug into the ground for the burial of a corpse, often marked with a gravestone","tensor([ 0.0222,  0.0239, -0.0148,  ..., -0.0014, -0.0346,  0.0861])"
4347,landuse,cemetery,sector,Cemetery sector (numbered/named part of the cemetery),"tensor([ 0.0112, -0.0003, -0.0078,  ...,  0.0229, -0.0537,  0.0366])"
4348,,cemetery,war_cemetery,A war cemetery,"tensor([ 0.0029,  0.0214, -0.0210,  ...,  0.0055, -0.0380,  0.0836])"
4351,shops,clothes,fashion,Specifies that shop sells fashionable clothes. Used with tag:shop=clothes,"tensor([ 0.0084, -0.0476,  0.0168,  ...,  0.0236, -0.0368,  0.0577])"
4353,,clothes,motorcycle,Specifies whether a shop sells motorcycle clothes,"tensor([ 0.0093, -0.0296,  0.0317,  ..., -0.0120, -0.0483,  0.0817])"
4354,shops,clothes,sports,Sells sportive clothes.,"tensor([ 0.0195, -0.0176,  0.0355,  ...,  0.0148, -0.0428,  0.0822])"
4355,shops,clothes,swimwear,"Sells bikini, swimsuits etc.","tensor([ 0.0206, -0.0072,  0.0009,  ...,  0.0055, -0.0368,  0.0851])"
4356,shops,clothes,underwear,"Sells lingerie, slips, socks, stockings, or other underwear.","tensor([ 0.0270,  0.0118,  0.0064,  ...,  0.0049, -0.0288,  0.0761])"
4358,shops,clothes,vintage,Indicates that the shop sells vintage clothes.,"tensor([ 0.0127, -0.0401,  0.0135,  ...,  0.0022, -0.0404,  0.0620])"
4359,shops,clothes,wedding,A shop sells wedding clothes.,"tensor([ 0.0355, -0.0023,  0.0031,  ..., -0.0066, -0.0142,  0.0580])"
4360,,clothes,women,Sells clothes for women.,"tensor([ 0.0240,  0.0156,  0.0066,  ...,  0.0232, -0.0341,  0.0763])"
4363,shops,clothes,workwear,Indicates that the shop sells workwear.,"tensor([ 0.0198, -0.0230,  0.0222,  ...,  0.0228, -0.0316,  0.0703])"
4365,clubs,club,art,A arts club,"tensor([ 0.0119, -0.0100,  0.0066,  ...,  0.0266, -0.0349,  0.0354])"
4366,clubs,club,automobile,A club of car enthusiasts.,"tensor([-0.0176, -0.0075,  0.0032,  ...,  0.0073, -0.0349,  0.0436])"
4367,clubs,club,baduk,A baduk/go/weiqi club.,"tensor([-0.0001,  0.0029, -0.0152,  ...,  0.0178, -0.0441,  0.0654])"
4368,clubs,club,bicycle,A bicycle club,"tensor([ 0.0193, -0.0072,  0.0070,  ...,  0.0152, -0.0606,  0.0640])"
4373,clubs,club,chess,A chess club.,"tensor([-0.0066, -0.0233, -0.0126,  ...,  0.0256, -0.0292,  0.0552])"
4374,clubs,club,computer,A computer club.,"tensor([ 0.0158, -0.0166, -0.0038,  ...,  0.0171, -0.0318,  0.0422])"
4376,clubs,club,fishing,A fishing club,"tensor([-0.0218, -0.0097,  0.0191,  ...,  0.0147, -0.0463,  0.0493])"
4377,clubs,club,freemasonry,A Masonic Lodge,"tensor([ 0.0267, -0.0056, -0.0152,  ...,  0.0169, -0.0241,  0.0470])"
4379,clubs,club,hunting,A hunting club.,"tensor([-0.0104, -0.0046,  0.0101,  ..., -0.0158, -0.0355,  0.0514])"
4381,clubs,club,model_railway,A club for railway modellers.,"tensor([-0.0007, -0.0159, -0.0207,  ...,  0.0191, -0.0632,  0.0528])"
4382,clubs,club,motorcycle,A motorcycle club,"tensor([ 0.0026, -0.0085,  0.0077,  ..., -0.0110, -0.0447,  0.0522])"
4383,clubs,club,music,A music club,"tensor([ 0.0075, -0.0227, -0.0114,  ...,  0.0145, -0.0221,  0.0327])"
4385,clubs,club,sailing,A sailing club,"tensor([ 0.0047, -0.0145,  0.0055,  ...,  0.0193, -0.0355,  0.0459])"
4386,clubs,club,scout,Meeting place of a local scout group.,"tensor([-0.0037,  0.0163, -0.0076,  ..., -0.0009, -0.0107,  0.0632])"
4388,clubs,club,social,A social club,"tensor([-0.0011, -0.0093, -0.0094,  ...,  0.0321, -0.0308,  0.0435])"
4389,clubs,club,sport,A club for the purpose of playing or supporting one or more sports,"tensor([ 0.0166, -0.0154,  0.0122,  ...,  0.0288, -0.0402,  0.0541])"
4390,clubs,club,student,A club of students.,"tensor([ 0.0211, -0.0120,  0.0145,  ...,  0.0292, -0.0194,  0.0411])"
4391,clubs,club,tourism,A tourist club,"tensor([ 0.0125, -0.0136, -0.0064,  ...,  0.0086, -0.0389,  0.0422])"
4392,clubs,club,veterans,A veterans club,"tensor([-0.0035, -0.0340, -0.0113,  ...,  0.0134, -0.0501,  0.0473])"
4393,clubs,club,youth,"A club where young people can go to meet each other, possibly take part in various leisure activities.","tensor([-0.0241,  0.0043, -0.0095,  ...,  0.0204, -0.0195,  0.0407])"
4394,clubs,club,youth_movement,An youth movement institution,"tensor([-0.0029, -0.0003, -0.0093,  ...,  0.0242, -0.0243,  0.0608])"
4398,properties,collection_times:signed,no,There is no posted collection hours information,"tensor([ 0.0186,  0.0247, -0.0253,  ...,  0.0074, -0.0392,  0.0324])"
4403,communications,communication,line,Communications cable,"tensor([ 0.0019,  0.0030, -0.0051,  ...,  0.0175, -0.0495,  0.0567])"
4405,amenities,community_centre,club_home,A base of the club,"tensor([ 0.0095, -0.0017,  0.0041,  ...,  0.0187, -0.0240,  0.0429])"
4406,amenities,community_centre,community_hall,Community centre,"tensor([ 0.0218,  0.0067,  0.0126,  ...,  0.0081, -0.0140,  0.0557])"
4407,amenities,community_centre,cultural_centre,A facility providing space for cultural activities for all ages.,"tensor([ 0.0061,  0.0203,  0.0073,  ...,  0.0151, -0.0160,  0.0259])"
4409,amenities,community_centre,meeting_room,"A place for holding meetings, lectures, courses in a community; in a smaller setting than a hall.","tensor([ 0.0284,  0.0182, -0.0030,  ...,  0.0073, -0.0123,  0.0455])"
4410,amenities,community_centre,parish_hall,Parish hall,"tensor([ 0.0134, -0.0083,  0.0090,  ...,  0.0098, -0.0229,  0.0444])"
4412,amenities,community_centre,youth_centre,A youth centre,"tensor([ 0.0087,  0.0136,  0.0182,  ...,  0.0130, -0.0065,  0.0533])"
4413,offices,company,aerospace,Specifies an aerospace company,"tensor([ 0.0255, -0.0075,  0.0165,  ...,  0.0322, -0.0423,  0.0249])"
4416,offices‎,company,construction,"A construction company, providing multiple or general construction services.","tensor([ 0.0168,  0.0495, -0.0324,  ...,  0.0197, -0.0110,  0.0494])"
4417,offices‎,company,distribution,A freight forwarder or transport/logistics company,"tensor([ 0.0067,  0.0162, -0.0142,  ...,  0.0331, -0.0195,  0.0431])"
4421,offices,company,logistics,A company providing logistics,"tensor([ 0.0020,  0.0098, -0.0325,  ...,  0.0214, -0.0318,  0.0218])"
4422,offices,company,robot,"A company that develops, builds robots","tensor([-0.0033,  0.0135, -0.0197,  ...,  0.0239, -0.0271,  0.0436])"
4423,offices‎,company,software_development,A company that develops software,"tensor([ 0.0252,  0.0299,  0.0010,  ...,  0.0474, -0.0273,  0.0403])"
4424,offices‎,company,transport,A freight forwarder or transport company,"tensor([ 0.0126,  0.0277, -0.0077,  ...,  0.0238, -0.0323,  0.0423])"
4429,power,compensator,shunt_reactor,"A coil intended to compensate for capacitive current, branch connected to a network edge","tensor([ 0.0098, -0.0217,  0.0222,  ...,  0.0192, -0.0421,  0.0403])"
4434,,construction,apartments,Used together with building=construction to mark that building under construction is a residential buildings used by multiple families/groups.,"tensor([ 0.0286,  0.0149, -0.0348,  ..., -0.0064, -0.0158,  0.0555])"
4435,,construction,house,Used together with building=construction to mark that building under construction is a house.,"tensor([ 0.0255, -0.0019, -0.0136,  ..., -0.0071, -0.0272,  0.0797])"
4436,,construction,minor,indicates minor roadworks,"tensor([ 0.0224,  0.0059, -0.0036,  ..., -0.0199, -0.0362,  0.0798])"
4437,buildings,construction,office,Used together with tag:building=construction to mark that building under construction is an office building.,"tensor([ 0.0303, -0.0079, -0.0231,  ...,  0.0051, -0.0236,  0.0735])"
4439,buildings,construction,steps,Specifies that given highway=construction is about a step construction,"tensor([ 0.0125,  0.0081, -0.0366,  ..., -0.0047, -0.0353,  0.0837])"
4440,,construction,yes,,"tensor([-0.0037,  0.0364, -0.0363,  ...,  0.0043, -0.0302,  0.0672])"
4443,,consulate,consulate_general,"A consulate general, headed by a ""consul general""","tensor([ 0.0106,  0.0201,  0.0201,  ...,  0.0024, -0.0475,  0.0660])"
4444,,consulate,honorary_consul,Office of a host-country national who offers limited services on behalf of a foreign country.,"tensor([-0.0070,  0.0193,  0.0211,  ..., -0.0053, -0.0377,  0.0608])"
4446,,consulate,yes,Consulate headed by a consul,"tensor([ 0.0082, -0.0045,  0.0169,  ...,  0.0065, -0.0543,  0.0575])"
4450,properties,content,crop,The content of a silo is crop,"tensor([ 0.0263,  0.0200, -0.0200,  ...,  0.0185, -0.0544,  0.0272])"
4451,properties,content,drinking_water,The content of a storage tank is drinking water,"tensor([ 0.0515, -0.0206, -0.0014,  ..., -0.0123, -0.0328,  0.0548])"
4452,properties,content,fuel,The content of a storage tank is fuel,"tensor([ 0.0397, -0.0171, -0.0003,  ..., -0.0190, -0.0393,  0.0460])"
4453,properties,content,gas,The content of a storage tank is gas,"tensor([ 0.0369, -0.0226, -0.0047,  ..., -0.0132, -0.0413,  0.0502])"
